date,close
2025-11-20,1749.8
2025-11-21,1723.1
2025-11-24,1725
2025-11-25,1713.2
2025-11-26,1698.8
2025-11-27,1699.9
2025-11-28,1734
2025-12-01,1735
2025-12-02,1725.5
2025-12-03,1727
2025-12-04,1731
2025-12-05,1750
2025-12-08,1748
2025-12-09,1740
2025-12-10,1738.6
2025-12-11,1742
2025-12-12,1742.5
2025-12-15,1750
2025-12-16,1777.6
2025-12-17,1773.1
2025-12-18,1787.9
2025-12-19,1808.9
2025-12-22,1799.4
2025-12-23,1793.1
2025-12-24,1790
2025-12-25,1798
2025-12-26,1813.8
2025-12-29,1814.2
2025-12-30,1864.4
2026-01-05,1915
2026-01-06,1925.6
2026-01-08,1896.8
2026-01-09,1902.7
2026-01-12,1897.7
2026-01-13,1871.8
2026-01-14,1880
2026-01-15,1888
2026-01-16,1910
2026-01-19,1907.3
2026-01-20,1931
2026-01-21,1986.5
2026-01-22,1994.2
2026-01-23,2033.7
2026-01-26,2031.8
2026-01-27,2063.5
2026-01-28,2089.5
2026-01-29,2103.9
2026-01-30,2100
2026-02-02,2112
2026-02-03,2108.5
2026-02-04,2076.7
2026-02-05,2075.8
2026-02-06,2056.4
2026-02-09,2029
2026-02-10,2061.9
2026-02-11,2098.9
2026-02-12,2099
2026-02-13,2133.2
2026-02-16,2175.6
2026-02-17,2178.1
2026-02-18,2189
2026-02-19,2172.1
2026-02-20,2193
2026-02-24,2263
2026-02-25,2269
2026-02-26,2296.3
2026-02-27,2303.9
2026-03-02,2225.4
2026-03-03,2196.4
2026-03-04,2198
2026-03-05,2206.8
2026-03-06,2180.1
2026-03-09,2181.3
2026-03-10,2214.8
2026-03-11,2201.6
2026-03-12,2188.7
2026-03-13,2188
2026-03-16,2190
2026-03-17,2211.9
2026-03-18,2201.3
2026-03-19,2186.2
2026-03-20,2184.7
2026-03-23,2161.6
2026-03-24,2182.7
2026-03-25,2187.5
2026-03-26,2175.5
2026-03-27,2152.9
2026-03-30,2174.3
2026-03-31,2192.5
2026-04-01,2217.8
2026-04-02,2205.9
2026-04-03,2202.6
2026-04-06,2233
2026-04-07,2246.3
2026-04-08,2271.2
2026-04-09,2267.9
2026-04-10,2244.9
2026-04-13,2251.5
2026-04-14,2299.9
2026-04-15,2277.2
2026-04-16,2263
2026-04-17,2253.9
2026-04-20,2237.1
2026-04-21,2219.5
2026-04-22,2219.8
2026-04-23,2238
2026-04-24,2237.3
2026-04-27,2229.7
2026-04-28,2205.4
2026-04-29,2231.6
2026-04-30,2240
2026-05-04,2220
2026-05-05,2225.5
2026-05-06,2225
2026-05-07,2219.8
2026-05-08,2230.8
2026-05-11,2258.6
2026-05-12,2284.5
2026-05-13,2348
2026-05-14,2327.7
2026-05-15,2340.7
2026-05-18,2340.4
2026-05-19,2335.4
2026-05-20,2319.4
2026-05-21,2376.9
2026-05-22,2363.5
2026-05-25,2343.4
2026-05-26,2383.2
2026-05-27,2387.5
2026-05-28,2406.1
2026-05-29,2423
2026-06-01,2418.8
2026-06-02,2445.7
2026-06-03,2425
2026-06-04,2450.4
2026-06-05,2448.9
2026-06-08,2393.7
2026-06-09,2403.9
2026-06-10,2387.9
2026-06-11,2415.9
2026-06-15,2435.5
2026-06-16,2405.2
2026-06-17,2388.4
2026-06-18,2329.7
2026-06-19,2297.1
2026-06-22,2174.9
2026-06-23,2299.5
2026-06-24,2249.6
2026-06-25,2217.2
2026-06-26,2202
2026-06-29,2240
2026-06-30,2278.6
2026-07-01,2283
2026-07-02,2222
2026-07-03,2234.9
2026-07-06,2191.7
2026-07-07,2157.8
2026-07-08,2148.4
2026-07-09,2164
2026-07-10,2175.5
2026-07-13,2173
2026-07-14,2192.5
2026-07-15,2164
2026-07-16,2079.1
2026-07-17,2065.1
2026-07-20,2015.6
2026-07-21,2016.1
2026-07-22,2016
2026-07-23,2014.7
2026-07-24,2086.9
2026-07-27,2186
2026-07-28,2179
2026-07-29,2240
2026-07-30,2239.5
2026-07-31,2231.2
2026-08-03,2273.2
2026-08-04,2229.7
2026-08-05,2247.6
2026-08-06,2240
2026-08-07,2226.6
2026-08-10,2220.4
2026-08-11,2249.6
2026-08-12,2238.5
2026-08-13,2175.3
2026-08-14,2107
2026-08-17,2093.1
2026-08-18,2156.3
2026-08-19,2142.2
2026-08-20,2103.7
