date,close
2019-01-03,1859.5
2019-01-04,1916.0
2019-01-08,1926.5
2019-01-09,1960.0
2019-01-10,1985.0
2019-01-11,1983.0
2019-01-14,1992.5
2019-01-15,1999.5
2019-01-16,1980.0
2019-01-17,1993.5
2019-01-18,2044.5
2019-01-21,2044.5
2019-01-22,2051.0
2019-01-23,2060.0
2019-01-24,2083.0
2019-01-25,2152.0
2019-01-28,2167.0
2019-01-29,2152.0
2019-01-30,2157.0
2019-01-31,2212.0
2019-02-01,2197.2
2019-02-04,2212.0
2019-02-05,2250.8
2019-02-06,2244.0
2019-02-07,2192.2
2019-02-08,2163.4
2019-02-11,2196.0
2019-02-12,2230.0
2019-02-13,2258.0
2019-02-14,2264.0
2019-02-15,2200.2
2019-02-18,2161.0
2019-02-19,2126.6
2019-02-20,2166.2
2019-02-21,2115.0
2019-02-22,2133.0
2019-02-25,2214.6
2019-02-26,2169.6
2019-02-27,2163.0
2019-02-28,2208.0
2019-03-01,2247.4
2019-03-04,2303.6
2019-03-05,2340.2
2019-03-06,2362.0
2019-03-07,2329.2
2019-03-11,2346.4
2019-03-12,2355.0
2019-03-13,2345.0
2019-03-14,2303.4
2019-03-15,2352.8
2019-03-18,2306.0
2019-03-19,2318.8
2019-03-20,2301.4
2019-03-21,2274.0
2019-03-22,2276.4
2019-03-25,2293.8
2019-03-26,2315.8
2019-03-27,2268.0
2019-03-28,2317.8
2019-03-29,2293.6
2019-04-01,2243.4
2019-04-02,2249.0
2019-04-03,2268.2
2019-04-04,2280.8
2019-04-05,2298.0
2019-04-08,2301.6
2019-04-09,2346.0
2019-04-10,2350.8
2019-04-11,2434.0
2019-04-12,2435.2
2019-04-15,2453.0
2019-04-16,2499.8
2019-04-17,2451.0
2019-04-18,2383.2
2019-04-19,2415.2
2019-04-22,2400.0
2019-04-23,2412.8
2019-04-24,2410.6
2019-04-25,2407.6
2019-04-26,2389.0
2019-04-29,2406.0
2019-04-30,2391.0
2019-05-02,2413.0
2019-05-03,2414.0
2019-05-06,2407.0
2019-05-07,2388.6
2019-05-08,2379.0
2019-05-10,2340.0
2019-05-13,2286.6
2019-05-14,2299.0
2019-05-15,2312.0
2019-05-16,2392.0
2019-05-17,2425.0
2019-05-20,2407.8
2019-05-21,2392.4
2019-05-22,2424.8
2019-05-23,2365.0
2019-05-24,2383.4
2019-05-27,2404.6
2019-05-28,2280.2
2019-05-29,2350.2
2019-05-30,2379.6
2019-05-31,2336.6
2019-06-03,2319.0
2019-06-04,2341.0
2019-06-05,2361.0
2019-06-06,2389.0
2019-06-07,2418.6
2019-06-10,2435.0
2019-06-11,2494.8
2019-06-13,2492.0
2019-06-14,2465.0
2019-06-17,2455.8
2019-06-18,2480.2
2019-06-19,2470.2
2019-06-20,2492.8
2019-06-21,2468.4
2019-06-24,2452.6
2019-06-25,2424.6
2019-06-26,2391.6
2019-06-27,2410.0
2019-06-28,2405.4
2019-07-01,2482.4
2019-07-02,2491.2
2019-07-03,2505.4
2019-07-04,2494.8
2019-07-05,2481.4
2019-07-08,2465.0
2019-07-09,2478.0
2019-07-10,2500.2
2019-07-11,2495.0
2019-07-12,2573.0
2019-07-15,2546.4
2019-07-16,2542.6
2019-07-17,2509.2
2019-07-18,2489.8
2019-07-19,2518.0
2019-07-22,2486.0
2019-07-23,2482.8
2019-07-24,2507.0
2019-07-25,2461.6
2019-07-26,2520.0
2019-07-29,2441.0
2019-07-30,2480.4
2019-07-31,2490.0
2019-08-01,2550.6
2019-08-02,2470.0
2019-08-05,2369.6
2019-08-06,2413.0
2019-08-07,2428.8
2019-08-08,2413.2
2019-08-09,2405.0
2019-08-12,2410.0
2019-08-13,2428.0
2019-08-14,2374.0
2019-08-15,2365.4
2019-08-16,2394.0
2019-08-19,2424.0
2019-08-20,2438.4
2019-08-21,2421.2
2019-08-22,2399.0
2019-08-23,2391.0
2019-08-26,2394.4
2019-08-27,2429.8
2019-08-28,2434.0
2019-08-29,2441.0
2019-08-30,2462.8
2019-09-02,2469.8
2019-09-03,2487.0
2019-09-04,2487.0
2019-09-05,2509.2
2019-09-06,2503.6
2019-09-09,2466.0
2019-09-10,2450.2
2019-09-11,2466.2
2019-09-12,2457.0
2019-09-13,2453.0
2019-09-16,2447.6
2019-09-17,2438.4
2019-09-18,2432.0
2019-09-19,2407.4
2019-09-20,2350.2
2019-09-23,2342.2
2019-09-24,2301.4
2019-09-25,2322.4
2019-09-26,2319.6
2019-09-27,2315.8
2019-09-30,2263.4
2019-10-01,2287.0
2019-10-02,2250.0
2019-10-03,2265.0
2019-10-04,2274.4
2019-10-07,2284.2
2019-10-08,2295.2
2019-10-09,2312.0
2019-10-10,2327.0
2019-10-11,1898.0
2019-10-14,1975.6
