ticker,year,revenue_bln,net_income_bln,fcf_bln,diluted_shares_bln
SHW,2024,23.0985,2.6814,2.0832,0.2541
SHW,2025,23.5743,2.5685,2.654,0.2504
SO,2022,29.279,3.535,-1.621,1.080982
SO,2023,25.253,3.976,-1.542,1.098
SO,2024,26.724,4.401,0.833,1.103008
SO,2025,29.553,4.341,-2.935,1.107398
SOFI,2022,1.5735,-0.3204,-7.3596,0.900886
SOFI,2023,2.1082,-0.3007,-7.3483,0.945024
SOFI,2024,2.6123,0.4987,-1.2834,1.10139
SOFI,2025,3.6134,0.4813,-3.9936,1.251767
SPCX,2023,10.387,-4.628,0.105,10.607
SPCX,2024,14.015,0.791,-5.387,10.607
SPCX,2025,18.674,-4.937,-14.121,9.649
TSLA,2022,81.462,12.583,7.552,3.475
TSLA,2023,96.773,14.999,4.357,3.48275
TSLA,2024,97.69,7.13,3.581,3.216
TSLA,2025,94.827,3.794,6.22,3.52625
V,2022,29.31,14.957,17.879,2.558
V,2023,32.653,17.273,19.696,2.507
V,2024,35.926,19.743,18.693,2.399
V,2025,40.0,20.058,21.577,2.194
WMT,2023,611.289,11.68,11.984,8.202
WMT,2024,648.125,15.511,15.12,8.109
WMT,2025,680.985,19.436,12.66,8.081
WMT,2026,713.163,21.893,14.923,8.022
XOM,2022,398.675,55.74,58.39,4.205
XOM,2023,334.697,36.01,33.45,4.052
XOM,2024,339.247,33.68,30.716,4.298
XOM,2025,323.905,28.844,23.612,4.305075
XYZ,2022,17.5316,-0.5407,0.0051,0.578949
XYZ,2023,21.9156,0.0098,-0.0502,0.614024
XYZ,2024,24.1211,2.897,1.5534,0.63639
XYZ,2025,24.1937,1.3056,2.4247,0.622838
