ticker,quarter,end_date,net_income_bln,diluted_shares_bln
TSLA,2026Q2,2026-06-30,1.114,3.54
V,2025Q2,2025-06-30,5.272,2.187
V,2025Q3,2025-09-30,5.09,2.173
V,2025Q4,2025-12-31,5.853,2.159451
V,2026Q1,2026-03-31,6.021,2.141042
V,2026Q2,2026-06-30,5.628,2.105795
WMT,2025Q3,2025-07-31,7.026,8.016
WMT,2025Q4,2025-10-31,6.143,8.011
WMT,2026Q1,2026-01-31,4.237,8.009
WMT,2026Q2,2026-04-30,5.33,7.999
WMT,2026Q3,2026-07-31,6.366,7.978
XOM,2025Q2,2025-06-30,7.082,4.331
XOM,2025Q3,2025-09-30,7.548,4.288636
XOM,2025Q4,2025-12-31,6.501,4.24902
XOM,2026Q1,2026-03-31,4.183,4.202
XOM,2026Q2,2026-06-30,14.525,4.174
XYZ,2025Q1,2025-03-31,,0.635342
XYZ,2025Q2,2025-06-30,0.5385,0.618928
XYZ,2025Q3,2025-09-30,0.4615,0.621658
XYZ,2025Q4,2025-12-31,0.1158,
XYZ,2026Q1,2026-03-31,-0.3087,0.597586
XYZ,2026Q2,2026-06-30,0.0885,0.608847
